Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
colic,arff;-0,00434783;0,3142;0,4860;0,5374;0,4522;0,5399;0,4448;0,4707;
vote,arff;0,24838710;0,5460;0,6613;0,6612;0,6613;0,6613;0,6613;0,6613;
urbanland,arff;0,14213650;0,4428;0,5755;0,5587;0,5211;0,5932;0,5665;0,5682;
lung-cancer,arff;0,03750000;0,3257;0,5396;0,5578;0,5147;0,3938;0,4054;0,4356;
primary-tumor,arff;-0,11420119;0,1441;0,2312;0,2414;0,2471;0,2429;0,1893;0,2204;
heart-c,arff;0,17483444;0,4106;0,5400;0,5399;0,5402;0,5285;0,4845;0,5124;
breast-cancer,arff;0,10419580;0,4015;0,5140;0,5140;0,4873;0,5140;0,5042;0,4944;
solar-flare,arff;0,28695652;0,5935;0,6870;0,6870;0,6870;0,6870;0,6870;0,6870;
sponge,arff;0,18947368;0,5015;0,5895;0,5887;0,5895;0,5895;0,5895;0,5895;
flags,arff;-0,01752578;0,2610;0,4339;0,4329;0,3799;0,4395;0,4229;0,4003;
heart-h,arff;-0,20476191;0,0988;0,1952;0,1952;0,1952;0,1952;0,1952;0,1952;
zoo,arff;0,17400000;0,4595;0,5537;0,5617;0,5551;0,5391;0,5107;0,5312;
lymph,arff;0,12972973;0,4157;0,5424;0,5561;0,5185;0,5632;0,5453;0,5351;
autos,arff;-0,18725490;0,1136;0,3411;0,3408;0,3075;0,3387;0,2479;0,2582;
breast-w,arff;0,28796561;0,5955;0,6750;0,6763;0,6711;0,6779;0,6551;0,6471;
synthetic-control,arff;-0,40000000;-0,0990;0,0000;-0,0020;0,0000;0,0000;0,0000;0,0000;
sonar,arff;-0,37980770;-0,0797;0,1212;0,0846;-0,0041;0,1328;0,0386;0,0269;
credit-a,arff;0,16608696;0,4421;0,6287;0,6281;0,6290;0,6290;0,6290;0,6290;
dermatology,arff;0,24644809;0,4783;0,6133;0,6228;0,5666;0,6513;0,5425;0,5422;
cylinder-bands,arff;-0,01370371;0,2874;0,4100;0,4439;0,4108;0,4820;0,4354;0,4005;
audiology,arff;-0,04690265;0,1920;0,4197;0,4006;0,4104;0,4165;0,4148;0,4119;
labor,arff;0,12500000;0,3853;0,5671;0,5922;0,5873;0,5676;0,5340;0,5250;
hepatitis,arff;0,07272728;0,3794;0,5183;0,5250;0,5147;0,5158;0,5121;0,4727;
heart-statlog,arff;0,16000000;0,4416;0,5757;0,5759;0,5496;0,5807;0,5807;0,5807;
soybean,arff;0,20557185;0,4295;0,5250;0,5401;0,5047;0,5428;0,5009;0,5235;
Hill_Valley_sample,arff;-0,02574257;0,2791;0,3927;0,4068;0,3876;0,4173;0,3756;0,3742;
glass,arff;0,01214953;0,3078;0,4287;0,4530;0,4561;0,4166;0,3906;0,3488;
ionosphere,arff;0,25600000;0,5668;0,6609;0,6647;0,6697;0,6608;0,6497;0,6534;
molecular-biology,arff;-0,20188679;0,0647;0,2871;0,2957;0,0853;0,3264;0,2564;0,2472;
