Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
urbanland,arff;0,52448071;0,7206;0,8301;0,8203;0,7220;0,8498;0,8181;0,8241;
Hill_Valley_sample,arff;0,28465347;0,4824;0,5706;0,5984;0,4968;0,6005;0,5456;0,5439;
