Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
prnn_fglass-952.arff,9,6,214,0.1055556,0.0111111,4.321426,1.2999894,2.8912528,0,0.5661882,0.41235,0.203333,-0.9323356,0,0.5661882,0.41235,0.1928986,-0.7837264,0.5222868,0.528876,0.5232558,0.5290698,0.5174418,0.5174418,0.5232558
emotions-40589.arff,77,2,593,0.1331169,0.0038961,38.4189676,12.4763735,2.2992519,0,0.2740917,0.0358175,0.0693638,1.0042463,0,0.2740917,0.0358175,0.0689178,0.9848254,0.4918425,0.5026723,0.5084388,0.485232,0.5021097,0.5021097,0.5
meta-757.arff,21,2,528,0.102381,0.0071429,10.2185503,3.1013087,2.8891635,0,0.1179215,0.0488101,0.0337352,0.4691728,0,0.1179215,0.0488101,0.0329596,0.4364584,0.5161138,0.5223539,0.521327,0.4976304,0.5047394,0.5094787,0.5
kc1-top5-1045.arff,94,2,145,0.9648936,0.3824468,46.916299,14.2991692,2.8885336,0,0.137444,0,0.0481672,0.6763465,0,0.137444,0,0.0479131,0.6656186,0.5037356,0.5020115,0.5,0.5086207,0.5,0.5,0.5
colic-27.arff,22,2,368,0.0340909,0.0045455,10.8733017,3.8354547,2.1276569,0,0.2840101,0.0272486,0.0632814,2.647319,0,0.2840101,0.0272486,0.0618905,2.470953,0.5384354,0.5433107,0.5442177,0.5408163,0.537415,0.5272109,0.5238095
fri_c4_500_100-742.arff,100,2,500,0.01,0.001,49.863844,19.3454576,1.6429373,0,0.3901473,0,0.0454743,7.3474208,0,0.3901473,0,0.0452487,7.2378328,0.6810833,0.578,0.5825,0.64,0.685,0.685,0.685
credit-approval-29.arff,15,2,690,0.0166667,0.0066667,7.0791837,2.7582912,1.5578375,0.0004227,0.4257094,0.0494559,0.1113025,2.2005357,0.0004227,0.4257094,0.0494559,0.1077681,1.9873416,0.5285024,0.5316425,0.5326087,0.5326087,0.5217392,0.5217392,0.5217392
kc1-binary-1066.arff,94,2,145,0.4143617,0.0111702,46.8060569,18.1283803,1.662071,0,0.3273674,0.2228146,0.1217697,-0.4450299,0,0.3273674,0.2228146,0.1211271,-0.437971,0.5439655,0.5689655,0.5862069,0.5431034,0.525862,0.525862,0.5172414
autoUniv-au7-500-1554.arff,12,5,500,0.0041667,0.0041667,5.8647337,2.0938112,1.7330496,0,0.0843291,0,0.0268003,1.8877226,0,0.0843291,0,0.0257489,1.6603977,0.5076667,0.5241667,0.53,0.53,0.5,0.5,0.5175
bridges-1007.arff,12,2,107,0.1125,0.0125,5.8594083,2.4733952,0.7514685,0,0.977134,0.1272494,0.2832964,2.0084643,0,0.977134,0.1272494,0.2721824,1.7665994,0.6860465,0.6872093,0.6976744,0.6860465,0.6511628,0.5581396,0.6744186
dresses-sales-23381.arff,12,2,500,0.0083333,0.0041667,5.7392475,1.762078,2.7255218,0,0.0504273,0.0206098,0.016839,0.2500628,0,0.0504273,0.0206098,0.0161784,0.2199496,0.5354167,0.5389167,0.54,0.5375,0.5025,0.5325,0.5325
schizo-466.arff,14,2,340,0.3035714,0.0535714,6.9589774,2.0521129,2.9000425,0,0.4564102,0,0.1212194,3.6927557,0,0.4564102,0,0.117109,3.3100895,0.6102942,0.5818628,0.5625,0.6102942,0.507353,0.6102942,0.5
fri_c4_1000_10-751.arff,10,2,1000,0.01,0.005,4.8521579,1.7646771,1.4590677,0,0.3522649,0,0.1246261,1.8479557,0,0.3522649,0,0.1188263,1.5821652,0.58625,0.58875,0.58875,0.58875,0.585,0.585,0.58875
backache-463.arff,32,2,180,0.2640625,0.0125,15.9180802,4.8936302,2.8879477,0,0.0609531,0.003887,0.0174561,1.2581715,0,0.0609531,0.003887,0.0171896,1.2001683,0.5208334,0.5263889,0.5277778,0.5069444,0.5208334,0.5069444,0.5138889
TuningSVMs-41977.arff,91,2,156,0.1857143,0.0076923,45.4532759,17.5896274,1.6665676,0,0.9520403,0,0.109802,6.7569942,0,0.9520403,0,0.1092036,6.6463052,0.5741935,0.6064516,0.6048387,0.5967742,0.5564516,0.532258,0.5725806
dataset-autoHorse_fixed-42223.arff,68,186,201,0.9838235,0.4183824,33.9708307,7.5961087,4.472136,0,5.6555224,0,1.7745234,1.3650009,0,5.6555224,0,1.7616176,1.3351374,0.5064583,0.50625,0.50625,0.5,0.5,0.50625,0.5
fri_c0_100_50-850.arff,50,2,100,0.033,0.003,24.9110506,10.1702868,1.3996172,0,0.1582492,0,0.0302205,4.8527384,0,0.1582492,0,0.0299227,4.7087515,0.60375,0.6391667,0.675,0.575,0.6125,0.575,0.5875
cleve-40710.arff,13,2,303,0.0038462,0.0038462,6.3911719,2.0818078,2.2518788,0,0.2132507,0.1168338,0.079803,0.0146335,0,0.2132507,0.1168338,0.0769001,0.0130035,0.4942149,0.5046832,0.5,0.4917356,0.5,0.5,0.5
fri_c0_500_25-926.arff,25,2,500,0.008,0.002,12.401719,4.6890866,1.6584463,0,0.152263,0,0.0410455,2.2580756,0,0.152263,0,0.0402484,2.125372,0.5640833,0.55575,0.565,0.57,0.555,0.5625,0.565
fri_c1_250_10-935.arff,10,2,250,0.025,0.01,4.9028125,1.7626954,1.5682349,0,0.3909089,0,0.145199,1.6253468,0,0.3909089,0,0.1384419,1.391574,0.6345,0.635,0.635,0.635,0.635,0.635,0.635
fri_c4_1000_50-797.arff,50,2,1000,0,0,24.8954961,8.557498,2.1592468,0,0.3613427,0,0.0636784,4.7710673,0,0.3613427,0,0.063051,4.6295037,0.6575,0.6045417,0.55875,0.66375,0.6575,0.655,0.6575
dermatology-1010.arff,34,2,366,0.3,0.0397059,16.8885141,5.7645489,2.1634954,0,0.7820964,0.1136512,0.2046457,1.603575,0,0.7820964,0.1136512,0.201701,1.5339349,0.5,0.5,0.5,0.5,0.5,0.5,0.5
glass-41.arff,9,7,214,0.0166667,0.0055556,4.3039506,1.5171902,1.8243902,0,0.5661882,0.41235,0.203333,-0.9323356,0,0.5661882,0.41235,0.1928986,-0.7837264,0.5484496,0.5542636,0.5581396,0.5406976,0.505814,0.5116279,0.5348837
dermatology-35.arff,34,6,366,0.0794118,0.0058824,16.7754511,6.6760483,1.350148,0.0932806,0.8631269,0.4270307,0.2288224,0.0646106,0.0932806,0.8631269,0.4270307,0.2255298,0.0618046,0.498516,0.5157534,0.5136986,0.510274,0.5068494,0.5068494,0.5034247
fri_c1_1000_50-837.arff,50,2,1000,0.003,0.001,24.8167903,8.6894595,2.1445661,0,0.3340166,0,0.060348,4.7171463,0,0.3340166,0,0.0597534,4.5771826,0.67375,0.5959583,0.56625,0.65875,0.67375,0.67375,0.67375
echoMonths-944.arff,9,2,130,0.0333333,0.0111111,4.3959936,1.6779317,1.3948414,0,0.3383593,0.0115949,0.1095292,2.2497659,0,0.3383593,0.0115949,0.1039085,1.8911655,0.5208334,0.5346154,0.5288462,0.5192308,0.5480769,0.5192308,0.5288462
flags-285.arff,29,8,194,0.0310345,0.0051724,14.4268536,5.6361619,1.4709631,0,2.3216834,0.1281052,0.4348347,4.147438,0,2.3216834,0.1281052,0.4275261,3.9367817,0.550641,0.5679487,0.576923,0.5384615,0.5448718,0.5192308,0.5448718
heart-c-49.arff,13,5,303,0.0153846,0.0038462,6.4822321,2.1502697,1.9457753,0,0.2116278,0.1168338,0.078298,0.0033771,0,0.2116278,0.1168338,0.0754498,0.0030009,0.5139118,0.5316804,0.5371901,0.5123967,0.5289256,0.5289256,0.5206612
thoracic-surgery-1506.arff,16,2,470,0.071875,0.009375,7.9664501,2.5972112,2.208028,0,0.0242842,0.0039236,0.0071583,1.8952736,0,0.0242842,0.0039236,0.0069445,1.7228628,0.514805,0.5164007,0.5159574,0.5132979,0.5106383,0.5053192,0.5
eucalyptus-990.arff,19,2,736,0.0263158,0.0078947,9.2600781,3.7147219,1.3152362,0,0.1643837,0.0664077,0.0499598,0.2526192,0,0.1643837,0.0664077,0.0486948,0.2331914,0.5575397,0.5770408,0.585034,0.5714286,0.547619,0.5459184,0.5459184
fri_c1_1000_25-917.arff,25,2,1000,0,0,12.3164719,4.3757625,1.8138351,0,0.3094534,0,0.0828737,3.1472204,0,0.3094534,0,0.0812643,2.9622631,0.634875,0.6337917,0.57375,0.64625,0.635,0.635,0.635
analcatdata_gsssexsurvey-852.arff,9,2,159,0.0555556,0.0111111,4.3424796,1.4035354,2.230864,0,0.0401231,0.0005014,0.0135781,1.9921667,0,0.0401231,0.0005014,0.0128814,1.6746262,0.59375,0.5934896,0.578125,0.59375,0.578125,0.578125,0.578125
pbc-810.arff,18,2,418,0.0083333,0.0027778,8.6214163,3.2680434,1.672215,0,0.1485287,0.0210147,0.0397673,1.736557,0,0.1485287,0.0210147,0.0387067,1.595755,0.5608782,0.5832335,0.5748503,0.5898204,0.5329341,0.5269461,0.517964
autos-975.arff,25,2,205,0.058,0.006,12.4116285,4.8765277,1.6313902,0,0.3349123,0.0295371,0.0814738,1.725391,0,0.3349123,0.0295371,0.0798916,1.6239924,0.6506098,0.6660569,0.6219512,0.6280488,0.5853658,0.6280488,0.6036586
robot-failures-lp4-1519.arff,90,3,117,0.4683333,0.0116667,44.9617273,16.2395344,2.1237583,0,0.5979871,0.4036307,0.1161215,-0.6003726,0,0.5979871,0.4036307,0.1154817,-0.5904291,0.7553192,0.670922,0.5425532,0.7553192,0.7234042,0.5,0.7234042
mw1-1071.arff,37,2,403,0.3324324,0.0175676,18.4010408,5.6611368,2.8879403,0,0.0868159,0.0489001,0.0299578,-0.2983431,0,0.0868159,0.0489001,0.0295609,-0.2864232,0.5073499,0.5110766,0.5124224,0.5062112,0.5031056,0.5031056,0.5093168
TuningSVMs-41976.arff,81,2,156,0.1703704,0.0037037,40.4607273,15.7808601,1.650196,0,0.9305861,0,0.1080214,7.6376651,0,0.9305861,0,0.1073608,7.4972071,0.5706989,0.6075269,0.6209677,0.6209677,0.5483871,0.5403226,0.5645161
usp05-1047.arff,16,11,203,0.021875,0.00625,7.8268141,3.1813623,1.3002051,0.1247355,1.8607516,0.7446194,0.5485053,0.280298,0.1247355,1.8607516,0.7446194,0.5321283,0.2547996,0.5493827,0.5432098,0.537037,0.5493827,0.5432098,0.5308642,0.5061728
autoUniv-au7-1100-1552.arff,12,5,1100,0,0,5.9504988,1.8057952,2.2975668,0,0.0780187,0.0040059,0.0297128,1.1064435,0,0.0780187,0.0040059,0.0285471,0.9732024,0.5556818,0.5510227,0.5397727,0.5556818,0.5522727,0.5522727,0.5522727
lymph-10.arff,18,4,148,0.0583333,0.0055556,8.8154651,3.3950824,1.6458336,0.02912,0.4018839,0.1443421,0.086783,1.4882456,0.02912,0.4018839,0.1443421,0.0844683,1.3675769,0.5022599,0.5217514,0.5254237,0.5,0.5084746,0.5084746,0.5084746
leaf-1482.arff,15,30,340,0.56,0.05,7.4704102,1.6704345,4.472136,0,1.9072669,1.1733774,0.5831779,-0.3292314,0,1.9072669,1.1733774,0.5646596,-0.2973345,0.5110294,0.5110294,0.5110294,0.5110294,0.507353,0.5110294,0.5110294
auto_price-745.arff,15,2,159,0.0433333,0.0066667,7.3250729,2.9459757,1.3119478,0,0.6926492,0.6009105,0.2777764,-0.5318863,0,0.6926492,0.6009105,0.2689558,-0.4803556,0.6481771,0.65,0.6484375,0.640625,0.6484375,0.6328125,0.59375
molecular-biology_promoters-956.arff,58,2,106,0.0439655,0.0025862,28.9370948,11.5620884,1.4168407,0.0008113,0.9052003,0.0212402,0.117153,7.2564713,0.0008113,0.9052003,0.0212402,0.1161559,7.0705924,0.5623016,0.5833333,0.5833334,0.5833334,0.5238095,0.5238095,0.5238095
fri_c0_500_50-888.arff,50,2,500,0.004,0.002,24.8597119,9.7318005,1.6370985,0,0.1922456,0,0.0329035,4.434747,0,0.1922456,0,0.0325793,4.3031625,0.5813333,0.5516667,0.55,0.595,0.5725,0.5725,0.5725
fri_c3_250_25-832.arff,25,2,250,0.018,0.004,12.41561,4.6396475,1.5625318,0,0.3912851,0,0.0927952,3.4011396,0,0.3912851,0,0.0909932,3.2012598,0.635,0.6203333,0.57,0.635,0.635,0.61,0.635
fri_c0_250_25-773.arff,25,2,250,0.004,0.002,12.4606921,4.8568319,1.3431154,0,0.1475908,0,0.0408895,2.1129014,0,0.1475908,0,0.0400955,1.9887294,0.5883333,0.5855,0.6,0.62,0.58,0.58,0.56
fri_c1_100_25-812.arff,25,2,100,0.048,0.004,12.4410225,5.0927349,1.2884133,0,0.4320582,0,0.1120827,3.3287852,0,0.4320582,0,0.1099061,3.1331576,0.5870833,0.5916667,0.5875,0.6125,0.55,0.5875,0.5875
water-treatment-940.arff,38,2,527,0.0868421,0.0065789,18.8807586,5.7747515,2.8881828,0,0.6143331,0.0647682,0.1931456,1.0008534,0,0.6143331,0.0647682,0.1906533,0.9619042,0.5157978,0.5208531,0.5189574,0.514218,0.5047394,0.514218,0.514218
heart-h-963.arff,13,2,294,0.9923077,0.9923077,6.4808163,1.4491546,4.472136,0,0.2539335,0.0173722,0.1009821,1.2704723,0,0.2539335,0.0173722,0.0973088,1.1289562,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fri_c1_100_50-876.arff,50,2,100,0.033,0.002,24.9491173,10.5129715,1.2709246,0,0.1871858,0,0.0264721,7.0710678,0,0.1871858,0,0.0262113,6.8612603,0.6145833,0.6575,0.675,0.6875,0.6375,0.6,0.575
fri_c2_500_50-920.arff,50,2,500,0.003,0.001,24.7481905,9.6292954,1.6430673,0,0.4633183,0,0.0848273,4.8139646,0,0.4633183,0,0.0839915,4.6711282,0.6625,0.6023333,0.62,0.665,0.6625,0.6625,0.6625
fri_c2_1000_25-903.arff,25,2,1000,0.012,0.004,12.4459823,4.3822067,2.1276131,0,0.4093973,0,0.1117126,3.2646119,0,0.4093973,0,0.1095433,3.0727556,0.6075,0.6015833,0.61,0.6075,0.6075,0.6075,0.6075
mc2-1054.arff,39,2,161,0.3012821,0.0230769,19.4667216,6.8438935,2.130628,0,0.167508,0.079813,0.046602,0.0692169,0,0.167508,0.079813,0.0460158,0.0665914,0.5861979,0.6007813,0.5859375,0.6015625,0.5625,0.5703125,0.5546875
hungarian-858.arff,13,2,294,0.9923077,0.9923077,6.4877806,1.4507118,4.472136,0,0.2539335,0.0173722,0.1009821,1.2704723,0,0.2539335,0.0173722,0.0973088,1.1289562,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fri_c0_1000_25-849.arff,25,2,1000,0.002,0.002,12.438925,4.7027394,1.6574898,0,0.1574001,0,0.0426646,2.5233798,0,0.1574001,0,0.0418361,2.3750846,0.5829583,0.5730417,0.5675,0.57375,0.57375,0.58375,0.58375
vowel-1016.arff,13,2,990,0.0269231,0.0076923,6.4151021,2.1643005,2.1700998,0,0.268078,0.0445725,0.0728584,2.1167688,0,0.268078,0.0445725,0.0702081,1.880985,0.5123737,0.5167088,0.5138889,0.5176768,0.510101,0.5063132,0.5113636
fri_c4_500_50-805.arff,50,2,500,0.008,0.002,24.885679,8.9343874,1.8891015,0,0.2708126,0,0.0537409,4.4677025,0,0.2708126,0,0.0532114,4.3351401,0.6745,0.6035,0.5775,0.685,0.545,0.6675,0.6775
kc3-1065.arff,39,2,458,0.2538462,0.0128205,19.364642,5.9472231,2.8879683,0,0.0972163,0.0688152,0.0249537,-0.9001463,0,0.0972163,0.0688152,0.0246398,-0.8660029,0.5173041,0.5211293,0.5218579,0.5191256,0.5136612,0.5136612,0.5054644
fri_c3_1000_25-715.arff,25,2,1000,0.004,0.002,12.3989189,4.3056322,2.1354839,0,0.3547609,0,0.089362,3.1290502,0,0.3547609,0,0.0876266,2.9451607,0.67225,0.6713333,0.65125,0.68,0.6725,0.6725,0.68
autoUniv-au1-1000-1547.arff,20,2,1000,0.0025,0.0025,9.8979443,3.021044,2.8883711,0,0.0147018,0,0.0057764,1.5214252,0,0.0147018,0,0.0056372,1.410148,0.5422083,0.5444583,0.54625,0.51875,0.54,0.52375,0.51875
anneal-989.arff,38,2,898,0.2078947,0.0078947,18.9559686,6.5521147,2.1332106,0,0.2121274,0,0.0425336,3.5483724,0,0.2121274,0,0.0419847,3.4102839,0.5102136,0.5227484,0.5208914,0.5278552,0.5083566,0.5083566,0.5069638
MegaWatt1-1442.arff,37,2,253,0.2837838,0.0175676,18.4595635,5.5354147,2.8922687,0,0.0996842,0.0565576,0.0351229,-0.186517,0,0.0996842,0.0565576,0.0346577,-0.1790649,0.5118812,0.5153466,0.509901,0.509901,0.5,0.5,0.5
Touch2-42544.arff,10,8,265,0.225,0.045,4.9447469,1.4394605,2.9090147,0,0.9843823,0.4911743,0.349444,-0.0897035,0,0.9843823,0.4911743,0.3331818,-0.0768015,0.5080189,0.5117925,0.509434,0.509434,0.5,0.5,0.5
fri_c4_250_10-863.arff,10,2,250,0.005,0.005,4.8717421,1.6942098,1.5843081,0,0.2469046,0,0.1005285,1.4219206,0,0.2469046,0,0.0958502,1.2174064,0.5653333,0.57,0.555,0.57,0.555,0.555,0.57
boston_corrected-825.arff,20,2,506,0.015,0.0025,9.8057,4.3133419,0.9673123,0.0000321,0.5634028,0.2488164,0.1436197,0.1410921,0.0000321,0.5634028,0.2488164,0.1401585,0.1307726,0.5132838,0.5311056,0.5321782,0.5074258,0.519802,0.509901,0.5247525
fri_c0_1000_10-845.arff,10,2,1000,0.005,0.005,4.722963,1.7139361,1.6969132,0,0.1857,0.0177422,0.0605812,1.5867579,0,0.1857,0.0177422,0.0577619,1.3585353,0.5223333,0.5326667,0.52375,0.535,0.52375,0.5225,0.535
bridges-327.arff,12,6,105,0.3083333,0.0625,5.96875,1.9075873,2.3342637,0,2.3176028,0.3626326,0.6759938,1.867465,0,2.3176028,0.3626326,0.6494738,1.6425796,0.5511905,0.559127,0.547619,0.5119048,0.5119048,0.5119048,0.5119048
kc2-1063.arff,21,2,522,0.352381,0.047619,10.4022469,3.0832247,2.8972196,0.055951,0.2414612,0.1938364,0.0392938,-1.839067,0.055951,0.2414612,0.1938364,0.0383904,-1.710833,0.5181818,0.5266348,0.5263158,0.5215311,0.5095694,0.5119618,0.5191388
fri_c2_100_10-762.arff,10,2,100,0.045,0.015,4.8308062,1.8990367,1.3262302,0,0.3966081,0,0.1444159,1.9501749,0,0.3966081,0,0.1376952,1.6696822,0.5625,0.5945833,0.5875,0.5875,0.5625,0.5625,0.5625
cylinder-bands-6332.arff,39,2,540,0.0653846,0.0064103,19.4018655,6.7543626,2.1481267,0,0.8356993,0.0168292,0.1781502,3.9351741,0,0.8356993,0.0168292,0.1759093,3.7859093,0.5652778,0.5866512,0.5787037,0.6087963,0.5416666,0.5486111,0.5231482
vehicle-994.arff,18,2,846,0.0194444,0.0055556,8.9839519,2.8490773,2.2035033,0.0130644,0.2809468,0.1092041,0.0910679,0.4056355,0.0130644,0.2809468,0.1092041,0.088639,0.3727461,0.5058678,0.5095168,0.5088758,0.510355,0.5,0.5044378,0.5044378
autoHorse-840.arff,25,2,205,0.084,0.01,12.4151001,4.8782278,1.3409067,0,0.5725018,0.2003176,0.2010107,0.2979577,0,0.5725018,0.2003176,0.1971072,0.2804472,0.5593496,0.5792683,0.5792683,0.5853658,0.5121951,0.5731707,0.554878
solar-flare-40686.arff,12,5,315,0.0625,0.0083333,5.3797062,2.2454834,1.0045212,0.0161514,0.8730735,0.0584631,0.3151335,1.8700148,0.0161514,0.8730735,0.0584631,0.3027705,1.6448224,0.5342592,0.5351851,0.5357142,0.5357142,0.5119048,0.5119048,0.515873
fri_c1_1000_10-910.arff,10,2,1000,0,0,4.8030153,1.7181398,1.4908898,0,0.336941,0.0073498,0.1320875,1.7217343,0,0.336941,0.0073498,0.1259405,1.4740981,0.58125,0.58125,0.58125,0.58125,0.58125,0.58125,0.58125
fri_c0_100_10-808.arff,10,2,100,0,0,4.9145299,1.8827539,1.4205579,0,0.1200206,0,0.0489865,1.7851087,0,0.1200206,0,0.0467068,1.5283574,0.59875,0.6066667,0.6125,0.5,0.575,0.5375,0.575
mu284-880.arff,10,2,284,0.25,0.075,3.9152893,1.7058937,0.4795011,0,1,0.0590422,0.3372198,1.9289054,0,1,0.0590422,0.3215265,1.6514719,0.5877193,0.5877193,0.5877193,0.5877193,0.5877193,0.5877193,0.5
MiceProtein-40966.arff,81,8,1080,0.5074074,0.0290123,39.9735392,12.3002847,2.8879395,0,2.9930268,0.2176054,0.402546,3.9624107,0,2.9930268,0.2176054,0.4000839,3.8895413,0.542824,0.542824,0.542824,0.542824,0.542824,0.542824,0.542824
audiology-7.arff,69,24,226,0.4,0.0115942,34.282747,15.2987216,0.9652049,0.0088355,0.9034409,0.0443483,0.2050083,2.2118235,0.0088355,0.9034409,0.0443483,0.2035386,2.1641289,0.5527778,0.5757407,0.5666666,0.5611111,0.5611111,0.55,0.5555556
vote-56.arff,16,2,435,0.05,0.009375,7.8514279,2.6885144,1.8958862,0.0000117,0.7078541,0.2067686,0.1817348,1.0017955,0.0000117,0.7078541,0.2067686,0.1763086,0.9106633,0.5151341,0.5186782,0.520115,0.5172414,0.5114942,0.5114942,0.5172414
breast-tissue-1465.arff,9,6,106,0.2611111,0.0666667,4.4621505,1.2774712,2.9248759,0,0.3230345,0,0.1311741,1.666393,0,0.3230345,0,0.1244427,1.400779,0.5055556,0.5095238,0.5119048,0.4880952,0.5119048,0.5119048,0.5119048
fri_c1_100_10-789.arff,10,2,100,0.015,0.005,4.8444398,1.7731367,1.4578252,0,0.3845102,0,0.127897,2.3736195,0,0.3845102,0,0.121945,2.032223,0.6625,0.6608333,0.6625,0.6625,0.6625,0.6625,0.6625
prnn_fglass-996.arff,9,2,214,0.0222222,0.0055556,4.3557122,1.6631,1.3562413,0,0.2409753,0.0672194,0.0792497,1.5024081,0,0.2409753,0.0672194,0.0751828,1.2629325,0.7015504,0.7013566,0.6976744,0.6918604,0.5290698,0.6395349,0.5
zoo-965.arff,17,2,101,0.2647059,0.0235294,8.4306122,3.2066332,1.3766738,0.0006368,0.9743197,0.1724277,0.3339315,1.1731344,0.0006368,0.9743197,0.1724277,0.3245231,1.0725507,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fri_c3_500_50-937.arff,50,2,500,0.001,0.001,24.9704971,8.9664983,2.1241799,0,0.3431337,0,0.0577505,4.8587976,0,0.3431337,0,0.0571816,4.714631,0.704,0.6290833,0.6125,0.705,0.5675,0.705,0.705
DiabeticMellitus-41430.arff,97,2,281,0.0762887,0.0020619,48.4079006,18.9501661,1.6441721,0,0.885679,0,0.0925513,9.0249487,0,0.885679,0,0.0920779,8.8862005,0.6741072,0.6308036,0.6160714,0.6741072,0.6741072,0.6741072,0.6741072
soybean-42.arff,35,19,683,0.04,0.0042857,17.3894536,6.6646276,1.5574379,0.0460895,1.1517242,0.361351,0.3029631,0.6007647,0.0460895,1.1517242,0.361351,0.2987256,0.5754097,0.479243,0.5095849,0.5128206,0.4725275,0.5,0.5,0.5
pc1-1068.arff,21,2,1109,0.0785714,0.0071429,10.4334291,3.1306991,2.8920474,0,0.0452731,0.0220113,0.0143789,0.0655387,0,0.0452731,0.0220113,0.0140483,0.0609689,0.5066442,0.5066817,0.5056306,0.5078829,0.5022522,0.5022522,0.5078829
PizzaCutter3-1444.arff,37,2,1043,0.1432432,0.0081081,18.4245416,5.6668172,2.8879423,0,0.0973067,0.0269965,0.0285635,0.4875636,0,0.0973067,0.0269965,0.0281852,0.4680836,0.5159472,0.5172262,0.5179856,0.5155875,0.5131894,0.5131894,0.5131894
fri_c3_250_10-793.arff,10,2,250,0.025,0.015,4.8203813,1.8457028,1.3272036,0,0.4257406,0,0.1600784,1.7836917,0,0.4257406,0,0.1526288,1.5271442,0.6246667,0.625,0.62,0.625,0.625,0.585,0.625
solar-flare-40687.arff,12,6,1066,0.05,0.0083333,5.898053,2.2612538,1.2923269,0,1.0757588,0.0895552,0.3433765,2.0291606,0,1.0757588,0.0895552,0.3299055,1.7848033,0.5079421,0.5107981,0.5093897,0.5093897,0.5058686,0.5058686,0.5058686
threeOf9-40690.arff,9,2,512,0.0111111,0.0111111,4.4385851,1.4849856,1.8719847,0.0063811,0.0684096,0.0429575,0.0228113,-0.0187801,0.0063811,0.0684096,0.0429575,0.0216407,-0.0157867,0.4443089,0.502439,0.502439,0.5,0.5,0.5,0.5
pharynx-738.arff,11,2,195,0.0272727,0.0045455,5.3567251,2.0255123,1.387302,0,0.8820129,0.0271904,0.2633236,2.8435936,0,0.8820129,0.0271904,0.2521131,2.4708708,0.5583334,0.5626069,0.5576924,0.5576924,0.5576924,0.5576924,0.5576924
lymph-1006.arff,18,2,148,0.0861111,0.0111111,8.8452085,3.385083,1.49022,0,0.3109691,0.0366084,0.0843887,1.7091373,0,0.3109691,0.0366084,0.082138,1.5705585,0.5053672,0.5231639,0.5084746,0.5084746,0.5169492,0.5084746,0.5
fri_c0_1000_50-904.arff,50,2,1000,0.005,0.001,24.9548063,9.3036036,1.5350909,0,0.1623841,0,0.0343615,3.7395741,0,0.1623841,0,0.034023,3.6286163,0.6163333,0.56925,0.5725,0.6225,0.60625,0.61375,0.61375
fri_c4_250_100-834.arff,100,2,250,0.0155,0.001,49.9036962,20.0362344,1.6278545,0,0.4040224,0,0.0530359,6.7751634,0,0.4040224,0,0.0527727,6.6741107,0.6283333,0.581,0.645,0.64,0.6,0.635,0.635
triazines-788.arff,60,2,186,0.4183333,0.0141667,29.8313059,11.5965842,1.641942,0,0.121855,0,0.0315245,1.6151572,0,0.121855,0,0.031265,1.5751509,0.6000001,0.6065316,0.6081082,0.6216216,0.5202703,0.5405406,0.5337838
autoUniv-au6-750-1549.arff,40,8,750,0.0175,0.0025,19.9500573,6.0673228,2.888826,0,0.0101529,0,0.0019595,4.1753624,0,0.0101529,0,0.0019355,4.0208968,0.5368889,0.5291111,0.5366667,0.5433334,0.5066667,0.53,0.5183334
fri_c2_100_25-775.arff,25,2,100,0.028,0.004,12.3364866,5.253751,1.0048454,0,0.3759747,0,0.102569,3.29898,0,0.3759747,0,0.1005772,3.105104,0.6566667,0.6541667,0.625,0.65,0.6625,0.6375,0.6625
sa-heart-1498.arff,9,2,462,0.0111111,0.0055556,4.4560023,1.396542,2.2647387,0,0.1200494,0.0374735,0.0420651,0.8990979,0,0.1200494,0.0374735,0.0399064,0.7557866,0.5227928,0.5331532,0.5405406,0.5,0.5,0.5,0.5
fri_c2_1000_10-913.arff,10,2,1000,0.015,0.01,4.7758488,1.7422035,1.4852467,0,0.4282626,0,0.1552188,1.8612357,0,0.4282626,0,0.1479953,1.5935351,0.5742083,0.57875,0.57875,0.57875,0.57625,0.57625,0.57875
wine-973.arff,13,2,178,0.0730769,0.0153846,6.3793335,2.5662742,0.6893967,0,0.6703987,0.1648586,0.2180537,0.845118,0,0.6703987,0.1648586,0.2101218,0.7509816,0.8190141,0.8232394,0.8028169,0.8239436,0.6971831,0.612676,0.6971831
fri_c3_100_50-716.arff,50,2,100,0.052,0.003,24.9456427,10.477086,1.1607988,0,0.4284889,0,0.066264,5.5027682,0,0.4284889,0,0.0656112,5.3394941,0.68375,0.6366667,0.675,0.6875,0.6,0.6875,0.6875
climate-model-simulation-crashes-1467.arff,20,2,540,0.0575,0.0075,9.933418,3.0352768,2.8882625,0,0.0816671,0,0.0260423,2.282076,0,0.0816671,0,0.0254147,2.1151647,0.5079475,0.5122685,0.5115741,0.5023148,0.5046296,0.5046296,0.5092592
