Instances,feature_num_features,feature_num_classes,feature_num_instances,feature_neutral_m1,feature_neutral_m2,feature_hdil_max,feature_hdil_stdev,feature_hdil_skewness,feature_infog_class_min,feature_infog_class_max,feature_infog_class_median,feature_infog_class_stdev,feature_infog_class_skewness,feature_infog_feature_min,feature_infog_feature_max,feature_infog_feature_median,feature_infog_feature_stdev,feature_infog_feature_skewness,algo_AMSO,algo_GA,algo_EDA,algo_SFS,algo_PCR,algo_IGFS,algo_REL
autos-9.arff,25,7,205,0.078,0.008,12.4176676,4.6301806,1.7088514,0,1.1895624,0.2688957,0.3105035,1.3215877,0,1.1895624,0.2688957,0.3044737,1.2439201,0.620122,0.6203252,0.6036586,0.6280488,0.5609756,0.5853658,0.5792683
fri_c0_100_25-889.arff,25,2,100,0.03,0.006,12.3848741,5.3526314,0.9867209,0,0.1676317,0,0.0421363,3.3713606,0,0.1676317,0,0.0413181,3.1732309,0.57625,0.58875,0.5875,0.575,0.6,0.5875,0.5625
cleveland-786.arff,13,2,303,0.0153846,0.0038462,6.4351965,2.1936382,1.8791956,0,0.2064683,0.1124219,0.0770339,0.0261518,0,0.2064683,0.1124219,0.0742317,0.0232388,0.5097796,0.5322314,0.5247934,0.5123967,0.5289256,0.5289256,0.5206612
badges2-1121.arff,11,2,294,0.6454545,0.1818182,4.948578,1.8170104,1.6835429,0,0.8631206,0,0.260388,2.891982,0,0.8631206,0,0.2493025,2.5129167,0.5,0.5,0.5,0.5,0.5,0.5,0.5
fri_c4_100_10-878.arff,10,2,100,0.03,0.01,4.890873,1.8750647,1.2148382,0,0.3657657,0,0.117259,2.7136265,0,0.3657657,0,0.1118021,2.3233269,0.5858333,0.5995833,0.6,0.6,0.5375,0.525,0.6
fri_c4_1000_25-723.arff,25,2,1000,0.004,0.002,12.3526177,4.4295061,1.7909968,0,0.2846579,0,0.075676,3.021099,0,0.2846579,0,0.0742064,2.8435537,0.66,0.65175,0.63875,0.66375,0.65625,0.66,0.66
fri_c1_250_25-746.arff,25,2,250,0.022,0.004,12.4651261,4.4312628,2.1256329,0,0.3513711,0,0.0895644,3.1849124,0,0.3513711,0,0.0878251,2.99774,0.635,0.6086667,0.58,0.635,0.575,0.59,0.6
soybean-1023.arff,35,2,683,0.16,0.0071429,17.4777911,5.9727263,2.1426895,0.0001022,0.1301431,0.0262132,0.0349417,1.2560112,0.0001022,0.1301431,0.0262132,0.034453,1.2030018,0.5074481,0.5116606,0.510989,0.5091576,0.5018315,0.5018315,0.5
autoUniv-au7-700-1553.arff,12,3,700,0.0083333,0.0041667,5.8199177,1.866408,2.3963324,0,0.186299,0.0004561,0.0533056,3.2680812,0,0.186299,0.0004561,0.0512143,2.8745296,0.5701785,0.5786904,0.5660714,0.5821428,0.5446428,0.5446428,0.5714286
arrhythmia-1017.arff,279,2,452,0.2827957,0.0035842,139.3553423,47.9207738,2.1737131,0,0.1177981,0.0050022,0.0277438,1.2579224,0,0.1177981,0.0050022,0.0276942,1.2511734,0.592081,0.5580111,0.5662984,0.6077348,0.5552486,0.5469614,0.5745856
anneal-2.arff,38,6,898,0.1565789,0.0065789,18.9614175,6.5816944,2.1323846,0,0.4232936,0,0.0929075,2.7721444,0,0.4232936,0,0.0917087,2.6642636,0.5047818,0.5217735,0.5194986,0.5194986,0.5083566,0.5027856,0.5069638
collins-987.arff,23,2,500,0.3521739,0.0413043,10.9442177,4.5271192,1.0846964,0,0.6343096,0.0582462,0.2074173,2.1641028,0,0.6343096,0.0582462,0.2030502,2.0260777,0.5025,0.5025,0.5025,0.5025,0.5,0.5025,0.5025
fri_c1_500_25-779.arff,25,2,500,0.01,0.004,12.407737,4.6631102,1.662309,0,0.275741,0,0.0784203,2.9129689,0,0.275741,0,0.0768974,2.7417781,0.5975,0.5779167,0.55,0.5975,0.5975,0.5975,0.5975
bodyfat-778.arff,14,2,252,0.05,0.0107143,6.4120563,2.5247099,1.5280196,0,0.9998182,0.1709781,0.2608962,2.2831076,0,0.9998182,0.1709781,0.2520496,2.0465179,0.5346534,0.5343234,0.5346534,0.5346534,0.5346534,0.5346534,0.5346534
tecator-851.arff,124,2,240,0.6979839,0.0149194,61.7738583,22.3733766,2.1244065,0,0.6420772,0.0552602,0.0808255,5.3567471,0,0.6420772,0.0552602,0.0805015,5.2922451,0.5243056,0.5279514,0.5260417,0.53125,0.515625,0.5260417,0.5260417
autoUniv-au6-1000-1555.arff,40,8,1000,0.00625,0.00125,19.9422418,6.1314604,2.8879461,0,0.100455,0,0.0158886,6.2371943,0,0.100455,0,0.0156937,6.0064522,0.545,0.5300417,0.53375,0.5475,0.52125,0.5175,0.53375
chatfield_4-820.arff,12,2,235,0.0625,0.0083333,5.824768,1.8163586,2.4740524,0,0.7022796,0.4322074,0.1688516,-1.3338022,0,0.7022796,0.4322074,0.1622273,-1.173182,0.5585106,0.5601064,0.5478724,0.5585106,0.5425532,0.5425532,0.5265958
colic-25.arff,27,2,368,0.0259259,0.0037037,13.3083728,5.1384575,1.64442,0,0.8688608,0.0064588,0.1698777,4.6033027,0,0.8688608,0.0064588,0.1668166,4.3524724,0.5634921,0.5900227,0.5986394,0.5918368,0.5340136,0.5306122,0.5714286
fri_c2_500_25-879.arff,25,2,500,0.008,0.002,12.4215587,4.511794,1.7666878,0,0.3812837,0,0.1038857,3.2734802,0,0.3812837,0,0.1018683,3.0811028,0.6145833,0.6111667,0.595,0.6225,0.615,0.615,0.615
CostaMadre1-1446.arff,37,2,296,0.122973,0.0094595,18.4648032,6.2732482,2.1588685,0,0.0821464,0,0.0264242,0.8567012,0,0.0821464,0,0.0260742,0.8224729,0.5070621,0.5189265,0.5127118,0.5169492,0.5,0.5042372,0.5
tic-tac-toe-50.arff,9,2,958,0.9888889,0.9888889,4.47815,1.0013448,4.472136,0.0070051,0.0871867,0.0135567,0.0258437,2.9075028,0.0070051,0.0871867,0.0135567,0.0245175,2.4440627,0.5,0.5,0.5,0.5,0.5,0.5,0.5
climate-model-simulation-crashes-40994.arff,20,2,540,0.04,0.01,9.8209416,3.0137179,2.8879942,0,0.0816671,0,0.0251727,2.2568704,0,0.0816671,0,0.0245661,2.0918026,0.5184414,0.5240741,0.525463,0.5046296,0.5162037,0.5138889,0.5138889
colleges_aaup-897.arff,16,2,1161,0.01875,0.009375,7.7995332,2.6405828,1.8909244,0,0.8809748,0.2325859,0.2677599,0.9027387,0,0.8809748,0.2325859,0.2597653,0.8206176,0.5240661,0.524102,0.5204742,0.5247845,0.5215518,0.5215518,0.5140086
fri_c1_500_50-766.arff,50,2,500,0.005,0.001,24.9121925,8.8322345,2.1311117,0,0.3671997,0,0.0630203,5.0238461,0,0.3671997,0,0.0623994,4.8747822,0.6775,0.6126667,0.5975,0.68,0.6775,0.6475,0.6775
cholesterol-798.arff,13,2,303,0.0230769,0.0076923,6.3965004,2.1905055,2.1522764,0,0.0260985,0.000107,0.0080716,1.7405931,0,0.0260985,0.000107,0.007778,1.546711,0.5487604,0.55854,0.5619835,0.5578512,0.5371901,0.5330578,0.5330578
flags-1012.arff,29,2,194,0.0448276,0.0051724,14.4439768,5.4805285,1.4625094,0,0.9390302,0.0157498,0.1732047,4.9340322,0,0.9390302,0.0157498,0.1702935,4.6834233,0.5611111,0.5788462,0.576923,0.5961538,0.551282,0.5192308,0.5641026
zoo-62.arff,17,7,101,0.2264706,0.0235294,8.438359,3.0448163,1.7465499,0.0506688,2.3905597,0.614494,0.5516544,1.9230332,0.0506688,2.3905597,0.614494,0.5361117,1.7581538,0.51625,0.5329167,0.525,0.5,0.525,0.5,0.5
MeanWhile1-1449.arff,37,2,253,0.3054054,0.022973,18.463867,5.5615667,2.8908809,0,0.0996842,0.0565576,0.0351229,-0.186517,0,0.0996842,0.0565576,0.0346577,-0.1790649,0.5113861,0.5150165,0.509901,0.509901,0.5,0.5,0.5
boston-853.arff,13,2,506,0.0230769,0.0153846,6.2690329,2.4688203,1.1460375,0.0054437,0.4661584,0.1556202,0.1212866,1.0322585,0.0054437,0.4661584,0.1556202,0.1168747,0.9172767,0.5347359,0.5396039,0.5321782,0.5074258,0.5346534,0.529703,0.529703
CastMetal1-1447.arff,37,2,327,0.2,0.0094595,18.3475879,5.6429759,2.8879425,0,0.0715118,0,0.0237612,0.7150199,0,0.0715118,0,0.0234464,0.6864522,0.5264631,0.5332062,0.5305344,0.5267176,0.5038168,0.519084,0.5267176
PieChart2-1452.arff,36,2,745,0.5777778,0.0333333,17.9149095,5.4760297,2.888232,0,0.0301008,0.0123496,0.0112389,0.2604945,0,0.0301008,0.0123496,0.0110859,0.2498017,0.5041387,0.5035235,0.5033557,0.5033557,0.5033557,0.5033557,0.5033557
Australian-40981.arff,14,2,690,0.0178571,0.0035714,6.5042001,2.4006543,1.7038533,0.0001392,0.4257094,0.045644,0.1145926,2.0975455,0.0001392,0.4257094,0.045644,0.1107069,1.8801849,0.500785,0.5075483,0.509058,0.509058,0.5,0.5018116,0.509058
ilpd-1480.arff,10,2,583,0.025,0.01,4.9694338,1.4900723,2.892291,0,0.1027855,0.0471815,0.0380521,0.1051557,0,0.1027855,0.0471815,0.0362812,0.0900312,0.540844,0.5397711,0.5364807,0.5343348,0.5300429,0.5193133,0.5236052
synthetic_control-377.arff,61,6,600,0.9983607,0.9983607,30.481994,6.8159811,4.472136,0,2.5849625,0.8582813,0.4055031,0.9131896,0,2.5849625,0.8582813,0.4022196,0.8909382,0.5,0.5,0.5,0.5,0.5,0.5,0.5
hepatitis-55.arff,19,2,155,0.1131579,0.0105263,9.3713422,3.1790763,2.1842088,0,0.182457,0.059379,0.0519777,0.7261212,0,0.182457,0.059379,0.0506616,0.6702787,0.5607527,0.5771505,0.5645161,0.5564516,0.5483871,0.5241936,0.5080645
molecular-biology_promoters-164.arff,58,4,106,0.0456897,0.0025862,28.9385515,11.9224169,1.2969539,0.0167458,1.9595383,0.0655161,0.2510511,7.3644141,0.0167458,1.9595383,0.0655161,0.2489145,7.1757702,0.5845238,0.6075397,0.6071428,0.5595238,0.5238096,0.547619,0.5357143
vowel-307.arff,12,11,990,0.0166667,0.0041667,5.8419377,2.209194,1.4592075,0,1.0587128,0.1716574,0.3574244,1.5259695,0,1.0587128,0.1716574,0.3434022,1.3422079,0.5323232,0.5640573,0.5681818,0.5631314,0.544192,0.5252526,0.520202
birds-40588.arff,278,2,645,0.7794964,0.0129496,138.8966897,42.7105915,2.8879446,0,0.0954317,0,0.0128225,3.1507157,0,0.0954317,0,0.0127995,3.1337507,0.5042636,0.5055556,0.505814,0.501938,0.501938,0.501938,0.503876
arrhythmia-5.arff,279,16,452,0.397491,0.0039427,139.2897488,42.8704835,2.8879391,0,0.3638175,0,0.081053,1.6761445,0,0.3638175,0,0.0809081,1.6671516,0.5722836,0.5434623,0.5662984,0.6132596,0.558011,0.5662984,0.5414364
ionosphere-59.arff,34,2,351,0.1352941,0.0088235,16.8710118,5.1758718,2.8880036,0,0.4615309,0.3084191,0.1002059,-0.7448897,0,0.4615309,0.3084191,0.098764,-0.7125406,0.5210715,0.5226191,0.525,0.5035714,0.5142857,0.5107143,0.5142857
autoUniv-au6-400-1551.arff,40,8,400,0.0125,0.0025,19.9543018,6.7038159,2.2151925,0,0.234314,0,0.0373067,6.082044,0,0.234314,0,0.0368489,5.8570415,0.5596875,0.5636458,0.571875,0.575,0.54375,0.540625,0.5625
PieChart1-1451.arff,37,2,705,0.1878378,0.0081081,18.4049463,5.6564653,2.8879525,0,0.1001602,0.0270234,0.029046,0.740483,0,0.1001602,0.0270234,0.0286613,0.710898,0.5192672,0.51974,0.5177305,0.5212766,0.5141844,0.5159574,0.5070922
analcatdata_marketing-986.arff,32,2,364,0.0125,0.003125,15.9718944,5.6505253,2.127444,0.0010591,0.024137,0.0065796,0.0058777,1.091111,0.0010591,0.024137,0.0065796,0.0057879,1.0408095,0.5805936,0.5836758,0.5821918,0.5753425,0.5479452,0.5616438,0.5410959
semeion-41973.arff,256,2,319,0.5306641,0.0095703,127.9628753,39.2303412,2.8880344,0,0.6461894,0.0478485,0.1371504,1.9039779,0,0.6461894,0.0478485,0.1368833,1.8928469,0.5019531,0.5029948,0.5039062,0.484375,0.5,0.5,0.5039062
primary-tumor-1003.arff,17,2,339,0.0529412,0.0088235,8.4701064,2.8683405,2.1423652,0.000607,0.1344402,0.0136139,0.0340818,2.4417643,0.000607,0.1344402,0.0136139,0.0331215,2.2324092,0.5115196,0.5221814,0.5220588,0.5220588,0.5147059,0.5147059,0.5
collins-40971.arff,23,30,1000,0.7021739,0.1108696,11.2651997,3.3995943,2.890383,0,4.6485621,0.2469093,1.4385751,2.2772949,0,4.6485621,0.2469093,1.4082859,2.1320506,0.5,0.5,0.5,0.5,0.5,0.5,0.5
KnuggetChase3-1448.arff,39,2,194,0.1692308,0.0076923,19.3468026,6.4060044,2.2668114,0,0.0896664,0,0.0237084,2.2121485,0,0.0896664,0,0.0234101,2.1282397,0.5553419,0.5632479,0.551282,0.5641026,0.5448718,0.5320512,0.5192308
autoPrice-756.arff,15,2,159,0.0533333,0.0066667,7.38152,2.7457648,1.6932066,0,0.6926492,0.6009105,0.2785159,-0.5246383,0,0.6926492,0.6009105,0.2696719,-0.4738098,0.5460938,0.5494792,0.546875,0.5390625,0.546875,0.5390625,0.546875
xd6-40693.arff,9,2,973,0.0111111,0.0055556,4.4652384,1.4804619,1.7937274,0.0267293,0.0317773,0.0291955,0.0016062,-0.1886674,0.0267293,0.0317773,0.0291955,0.0015237,-0.1585948,0.443659,0.487832,0.5,0.3971722,0.5,0.5,0.5
