;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;

urbanl;0,1961;0,3056;0,2958;0,1975;0,3253;0,2936;0,2996;
Hill_V;0,1977;0,2860;0,3137;0,2122;0,3159;0,2610;0,2592;
