Baseline;;Random;AMSO;GA;Sequential Backward Selection;Sequential Forward Selection;Pearson Correlation Ranker;Info Gain Ranker;
colic,arff;0,40869565;0,5040;0,6522;0,7024;0,6314;0,7022;0,5761;0,6142;
vote,arff;0,73364055;0,7854;0,8519;0,8526;0,8417;0,8545;0,8502;0,8502;
urbanland,arff;0,59703264;0,6712;0,7515;0,7523;0,7146;0,7657;0,7397;0,7490;
lung-cancer,arff;0,46250000;0,5272;0,7181;0,7655;0,6724;0,5062;0,5598;0,5940;
primary-tumor,arff;0,26745562;0,2643;0,3378;0,3724;0,3564;0,3575;0,3064;0,3583;
heart-c,arff;0,63907284;0,6355;0,7281;0,7468;0,7413;0,7304;0,7344;0,7344;
breast-cancer,arff;0,54825175;0,6112;0,6759;0,6808;0,6897;0,6774;0,6582;0,6456;
solar-flare,arff;0,78322981;0,8588;0,8832;0,8832;0,8832;0,8832;0,8832;0,8832;
sponge,arff;0,65789473;0,7343;0,7579;0,7577;0,7579;0,7579;0,7579;0,7579;
flags,arff;0,39175257;0,4130;0,5755;0,5961;0,5845;0,5733;0,5617;0,5241;
heart-h,arff;0,15102040;0,2295;0,2510;0,2510;0,2510;0,2510;0,2510;0,2510;
zoo,arff;0,63800000;0,6789;0,7516;0,7778;0,7907;0,7003;0,7367;0,7490;
lymph,arff;0,58108108;0,6191;0,7248;0,7671;0,7221;0,7384;0,7242;0,7608;
autos,arff;0,17352941;0,2565;0,4427;0,4538;0,4460;0,4401;0,3880;0,3418;
breast-w,arff;0,78452722;0,8446;0,8782;0,8768;0,8782;0,8757;0,8656;0,8656;
synthetic-control,arff;-0,10000000;-0,0230;0,0000;-0,0004;0,0000;0,0000;0,0000;0,0000;
sonar,arff;-0,07403846;-0,0032;0,1638;0,1321;0,0757;0,1726;0,0582;0,0403;
credit-a,arff;0,62782609;0,6701;0,8091;0,8128;0,7971;0,8087;0,8087;0,8087;
dermatology,arff;0,73114754;0,7182;0,8203;0,8475;0,8237;0,8560;0,7888;0,7794;
cylinder-bands,arff;0,39666666;0,4493;0,5420;0,5915;0,5880;0,6252;0,5626;0,5351;
audiology,arff;0,35398230;0,3703;0,5439;0,5600;0,5581;0,5404;0,5400;0,5328;
labor,arff;0,57500000;0,5953;0,7635;0,7878;0,7942;0,7374;0,7032;0,7704;
hepatitis,arff;0,50779221;0,5789;0,6746;0,6861;0,6608;0,6939;0,6647;0,6114;
heart-statlog,arff;0,62000000;0,6650;0,7668;0,7673;0,7352;0,7681;0,7681;0,7681;
soybean,arff;0,67859238;0,6571;0,7203;0,7602;0,7412;0,7310;0,7204;0,7325;
Hill_Valley_sample,arff;0,38118812;0,4624;0,5161;0,5460;0,5057;0,5422;0,5037;0,5046;
glass,arff;0,42990654;0,5020;0,5996;0,6273;0,6119;0,5988;0,5530;0,5479;
ionosphere,arff;0,74342857;0,8179;0,8705;0,8758;0,8476;0,8529;0,8543;0,8621;
molecular-biology,arff;0,15471698;0,2045;0,3853;0,4126;0,3360;0,4236;0,3377;0,3217;
